state_name,count
Andaman and Nicobar Islands,0
Andhra Pradesh,115
Arunachal Pradesh,6
Assam,76
Bihar,151
Chandigarh,4
Chhattisgarh,17
0,0
Delhi,1298
Dadra and Nagar Haveli and Daman and Diu,0
Goa,6
Gujarat,415
Himachal Pradesh,5
Haryana,296
Jharkhand,61
Jammu and Kashmir,117
Karnataka,388
Kerala,86
Ladakh,4
Lakshadweep,0
Maharashtra,2287
Meghalaya,2
Manipur,6
Madhya Pradesh,137
Mizoram,12
Nagaland,6
Odisha,141
Punjab,41
Puducherry,0
Rajasthan,273
Sikkim,0
Telangana,99
Tamil Nadu,1091
Tripura,48
Total,8820
State Unassigned,784
Uttar Pradesh,368
Uttarakhand,84
West Bengal,396
